ID,entrytype,title,author,year,journal,volume,number,pages,month,note,publisher,address,abstract
MelitzMarcJ.2015NTMN,,"New Trade Models, New Welfare Implications","Melitz, Marc J. and Redding, Stephen J.",2015,The American economic review,105,3,1105-1146,,,American Economic Association,NASHVILLE,"We show that endogenous firm selection provides a new welfare margin for heterogeneous firm models of trade (relative to homogeneous firm models). Under some parameter restrictions, the trade elasticity is constant and is a sufficient statistic for welfare, along with the domestic trade share. However, even small deviations from these restrictions imply that trade elasticities are variable and differ across markets and levels of trade costs. In this more general setting, the domestic trade share and endogenous trade elasticity are no longer sufficient statistics for welfare. Additional empirically observable moments of the micro structure also matter for welfare."
alma9946939993204105,,"Trade Theory in Computable General Equilibrium Models Armington, Krugman and Melitz","Dixon, Peter B. and Jerie, Michael. and Rimmer, Maureen T.",2018,,,,,,,Springer Singapore,Singapore,"This book is for people who want to understand modern trade theory, particularly the Melitz model.  It lays out Melitz theory from first principles and relates it to earlier theories of Armington and Krugman.  For trade theory specialists, the book produces some significant conclusions.  It identifies conditions under which Krugman and Melitz models produce essentially the same results for the welfare effects of trade liberalization as those obtained from Armington, and conditions under which this is not true.  These findings will be of interest to academics and policy advisors who need to understand critiques of Armington by proponents of Krugman and Melitz. For computable general equilibrium (CGE) modelers, the book shows how Melitz-style CGE models can be calibrated, solved and interpreted.  A major practical contribution of the book is to show how large-scale Armington models such as GTAP can be converted to Melitz by the addition of a small number of equations and minimal alteration of the original Armington model.   The book describes computational experience in solving Melitz CGE models using GEMPACK software.  This experience will be of interest to researchers currently attempting to solve Melitz-based CGE models. Almost all previous Melitz studies have used GAMS software.  Authors of these studies have reported computational difficulties.  These difficulties did not occur in this book’s GEMPACK-based computations.  The book concludes that: (a) CGE modelers can embrace Melitz while retaining their Armington-based models as powerful interpretive devices; and (b) via GEMPACK, large-scale CGE models incorporating Melitz specifications can be solved with no more difficulty than similar-dimensioned Armington models.  ."
BilbiieFlorinO.2012EEPV,,"Endogenous Entry, Product Variety, and Business Cycles","Bilbiie, Florin O. and Ghironi, Fabio and Melitz, Marc J.",2012,The Journal of political economy,120,2,304-345,,,University of Chicago Press,CHICAGO,"This paper builds a framework for the analysis of macroeconomic fluctuations that incorporates the endogenous determination of the number of producers and products over the business cycle. Economic expansions induce higher entry rates by prospective entrants subject to sunk investment costs. The sluggish response of the number of producers generates a new and potentially important endogenous propagation mechanism for business cycle models. The return to investment determines household saving decisions, producer entry, and the allocation of labor across sectors. Our framework replicates several features of business cycles and predicts procyclical profits even for preference specifications that imply countercyclical markups."
alma9946925836404105,,"Volatility, Labor Market Flexibility, and the Pattern of Comparative Advantage","Cuñat, Alejandro. and Melitz, Marc J.",2007,,,,,,,National Bureau of Economic Research,"Cambridge, Mass","This paper studies the link between volatility, labor market flexibility, and international trade. International differences in labor market regulations affect how firms can adjust to idiosyncratic shocks. These institutional differences interact with sector specific differences in volatility (the variance of the firm-specific shocks in a sector) to generate a new source of comparative advantage. Other things equal, countries with more flexible labor markets specialize in sectors with higher volatility. Empirical evidence for a large sample of countries strongly supports this theory: the exports of countries with more flexible labor markets are biased towards high-volatility sectors. We show how differences in labor market institutions can be parsimoniously integrated into the workhorse model of Ricardian comparative advantage of Dornbusch, Fischer, and Samuelson (1977). We also show how our model can be extended to multiple factors of production."
alma9946925742604105,,Market Penetration Costs and the New Consumers Margin in International Trade,"Arkolakis, Costas.",2008,,,,,,,National Bureau of Economic Research,"Cambridge, Mass","I develop a new theory of marketing costs and introduce it into a model of trade with product differentiation and firm productivity heterogeneity. In this model, a firm enters a market if it makes profits by reaching a single consumer there and pays an increasing marginal cost to access additional consumers. This market penetration cost introduces an extensive margin of new consumers in firms' sales.  I calibrate the key parameters of the model to match data on French firms from Eaton, Kortum and Kramarz, in particular the higher sales in France of firms that choose to export to more destinations.  The model predicts that most firms do not export, and that a large proportion of firms that export in particular markets do so in small amounts.  These predictions are in line with the French data, but together create a puzzle for models with a fixed cost of exporting, such as those of Melitz and Chaney. Looking at the comparative statics of trade liberalization, I find that the model predicts large increases in trade in goods with positive but little previous trade, in line with Kehoe and Ruhl. The model implies that these increases can contribute to new trade significantly more than the corresponding increases due to new exporters."
alma9946925878604105,,Improved Access to Foreign Markets Raises Plant-Level Productivity ... for Some Plants,"Lileeva, Alla. and Trefler, Daniel.",2007,,,,,,,National Bureau of Economic Research,"Cambridge, Mass","We weigh into the debate about whether rising productivity is ever a consequence rather than a cause of exporting. Exporting and investing to raise productivity are complimentary activities. For lower-productivity firms, incurring the fixed costs of such investments is justifiable only if accompanied by the larger sales volumes that come with exporting. Lower foreign tariffs will induce these firms to simultaneously export and invest in productivity. In contrast, lower foreign tariffs will induce higher-productivity firms to export without investing, as in Melitz (2003). We model this econometrically using a heterogeneous response model. Unique 'plant-specific' tariff cuts serve as our instrument for the decision of Canadian plants to start exporting to the United States. We find that those lower-productivity Canadian plants that were induced by the tariff cuts to start exporting (a) increased their labor productivity, (b) engaged in more product innovation, and (c) had high adoption rates of advanced manufacturing technologies.  These new exporters also increased their domestic (Canadian) market share at the expense of non-exporters, which suggests that the labor productivity gains reflect underlying gains in TFP. In contrast, we find no effects for higher-productivity plants, just as predicted by our complementarity theory."
alma9946925721104105,,Firm Heterogeneity and the Structure of U.S. Multinational Activity: An Empirical Analysis,"Yeaple, Stephen.",2008,,,,,,,National Bureau of Economic Research,"Cambridge, Mass","We use firm-level data for U.S. multinational enterprises (MNE) and the model of firm heterogeneity first presented in Helpman, Melitz, and Yeaple (2004) to make four empirical contributions. First, we show that the most productive U.S. firms invest in a larger number of foreign countries and sell more in each country in which they operate. Second, we assess the importance of firm heterogeneity in the structure of MNE activity. Third, we use the model to identify the mechanisms through which country characteristics affect the structure of MNE activity. Finally, we provide a systematic assessment of the model's shortcomings in order to inform the development of new theory."
CuñatAlejandro2012VLMF,,"VOLATILITY, LABOR MARKET FLEXIBILITY, AND THE PATTERN OF COMPARATIVE ADVANTAGE","Cuñat, Alejandro and Melitz, Marc J.",2012,Journal of the European Economic Association,10,2,225-254,,,Wiley-Blackwell,"Malden, USA","This paper studies the link between volatility, labor market flexibility, and international trade.International differences in labor market regulations affect how firms can adjust to idiosyncratic shocks. These institutional differences interact with sector specific differences in volatility (the variance of the firm-specific shocks in a sector) to generate a new source of comparative advantage.Other things equal, countries with more flexible labor markets specialize in sectors with higher volatility. Empirical evidence for a large sample of countries strongly supports this theory: the exports of countries with more flexible labor markets are biased towards high-volatility sectors. We show how differences in labor market institutions can be parsimoniously integrated into the workhorse model of Ricardian comparative advantage of Dornbusch, Fischer, and Samuelson (1977, American Economic Review, 67,823-839). We also show how our model can be extended to multiple factors of production."
GhironiFabio2007TFDw,,Trade Flow Dynamics with Heterogeneous Firms,"Ghironi, Fabio and Melitz, Marc J.",2007,The American economic review,97,2,356-361,,,American Economic Association,NASHVILLE,
OlekseyukZoryana2016MoFi,,Modeling of FDI in business services: Additional effects in case of Ukraine's European integration,"Olekseyuk, Zoryana",2016,The journal of international trade & economic development,25,7,1010-1043,,,Routledge,ABINGDON,"To analyze Ukraine's deep and comprehensive integration with the EU, we develop a multi-regional general-equilibrium simulation model incorporating heterogeneous firms and Foreign Direct Investment (FDI) in business services. This allows for consideration of (a) trade growth in new varieties; (b) aggregate productivity changes attributed to reallocation of resources across and within an industry; and (c) productivity growth in manufacturing due to increased access to business services. The results indicate relatively small gains for the EU, whereas Ukraine benefits with a welfare increase of over 8%. The deindustrialization impact, previously found by Olekseyuk and Balistreri ( 2014 ) in a comparison of different modeling structures, is supported by our findings. Ukraine's welfare gains are higher under an Armington structure compared to monopolistic competition. This is due to a movement of resources into Ukraine's traditional export sectors producing under constant returns. Implementation of the FDI modeling approach and liberalization of barriers to FDI, however, mitigates the deindustrialization impact as multinational firms enter the Ukrainian market. This increases the number of available varieties and, consequently, induces productivity growth of manufacturing sectors due to improved access to business services as critical inputs."
